product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
Spotfire® Server,14.6.2,1649,1319,"Legal and Third-Party
               	 Notices",2026-04-13,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-6-2.xml
Spotfire® Server,14.7.0,1650,1320,"Legal and Third-Party
               	 Notices",2025-12-16,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-7-0.xml
Spotfire® Server,14.8.0,1647,1317,"Legal and Third-Party
               	 Notices",2026-04-13,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-8-0.xml
TIBCO StreamBase®,10.2.0,2688,2150,,2018-01-11,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-10-2-0.xml
TIBCO StreamBase®,10.2.1,3131,2504,,2018-02-12,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-10-2-1.xml
TIBCO StreamBase®,10.3.0,4087,3269,,2018-07-28,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-10-3-0.xml
TIBCO StreamBase®,7.6.0,2779,2223,,2015-11-11,2015,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-0.xml
TIBCO StreamBase®,7.6.1,2843,2274,,2016-01-28,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-1.xml
TIBCO StreamBase®,7.6.2,2943,2354,,2016-02-17,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-2.xml
TIBCO StreamBase®,7.6.3,2985,2388,,2016-05-03,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-3.xml
TIBCO StreamBase®,7.6.4,2995,2396,,2016-06-23,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-4.xml
TIBCO StreamBase®,7.6.5,2974,2379,,2016-08-12,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-5.xml
TIBCO StreamBase®,7.6.6,2976,2380,,2016-10-25,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-6.xml
TIBCO StreamBase®,7.6.7,2992,2393,,2017-02-14,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-7.xml
TIBCO StreamBase®,7.6.8,3009,2407,,2017-08-19,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-6-8.xml
TIBCO StreamBase®,7.7.0,3014,2411,,2017-05-13,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-0.xml
TIBCO StreamBase®,7.7.1,3032,2425,,2017-08-30,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-1.xml
TIBCO StreamBase®,7.7.2,3039,2431,,2017-12-14,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-2.xml
TIBCO StreamBase®,7.7.3,3053,2442,,2018-03-21,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-3.xml
TIBCO StreamBase®,7.7.4,3085,2468,,2018-05-31,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-4.xml
TIBCO StreamBase®,7.7.5,3077,2461,,2018-10-15,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-5.xml
